,actor_2_name,profit_millions,VAR
62,John Ratzenberger,130.8866,7.8712649678920705
97,Orlando Bloom,102.25242857142858,6.149261718893852
124,Vin Diesel,95.557,5.74661169697175
64,Judy Greer,88.93960000000001,5.348654161223027
99,Philip Seymour Hoffman,87.3466,5.25285424668745
25,Christopher Lee,87.31046,5.25068085754036
115,Stephen Root,85.19912000000002,5.123708985879631
10,Blythe Danner,79.83314999999999,4.8010100107380955
70,Liam Neeson,77.99283999999999,4.690337354919536
116,Steve Carell,77.27385000000001,4.647098697950339
50,Heath Ledger,74.68376,4.491335734585964
111,Scarlett Johansson,70.636225,4.24792487012912
24,Christian Bale,69.77004,4.195834192808343
113,Shannon Elizabeth,58.267975,3.5041224263409014
63,Jon Favreau,55.15966666666667,3.317194822647524
0,Adam Sandler,54.03830000000001,3.249758017355804
65,Kate Winslet,50.92439999999999,3.0624941417297333
54,James Franco,46.62297777777777,2.803814994667389
77,Mary Lynn Rajskub,45.281,2.7231110672224723
78,Matt Damon,44.18325000000001,2.6570945222247153
73,Linda Cardellini,43.712925,2.628810093597003
21,Cheech Marin,42.578160000000004,2.5605675386579185
34,Delroy Lindo,40.90245,2.4597936059608627
43,Eddie Marsan,38.6255,2.3228622717475678
48,Gary Oldman,38.44162,2.3118040870113457
5,Amy Poehler,38.088525,2.290569642050304
58,Jeff Bridges,37.825066666666665,2.2747257714809264
106,Romany Malco,34.353,2.0659224507474128
72,Lin Shaye,32.12772,1.9320984496063418
18,Carmen Electra,30.436379999999996,1.8303845591790975
41,Dougray Scott,30.421979999999998,1.8295185712510924
69,Leslie Bibb,29.731225000000002,1.7879779121393402
7,Anne Hathaway,29.333280000000002,1.764046275610866
98,Peter Gallagher,28.786649999999998,1.7311730130354848
68,Kristin Scott Thomas,26.20418,1.5758683016163462
16,Bruce McGill,24.940075,1.4998474912183588
12,Brendan Fraser,24.19588,1.4550930546848981
51,Jada Pinkett Smith,24.1108,1.449976509343601
22,Chloë Grace Moretz,24.097249999999995,1.449161638758568
71,Lili Taylor,23.53941666666667,1.4156146295567928
26,Clea DuVall,23.219033333333332,1.3963474004595193
118,Thomas Kretschmann,23.202219999999997,1.3953362793695057
80,Meryl Streep,22.291212499999993,1.340550064277686
52,Jaime King,21.749649999999995,1.3079815512734976
15,Bruce Greenwood,21.050233333333335,1.265919996413847
110,Sanaa Lathan,20.255339999999997,1.2181166609472853
127,Will Ferrell,19.769666666666662,1.1889092134736245
66,Kelly Preston,19.740180000000002,1.1871359428228996
89,Natalie Portman,19.34765,1.1635299538381854
