,director_name,profit_millions,VAR
46,Edward Zwick,-17.06294,-0.9825651731244296
111,Oliver Stone,-17.95653333333333,-1.0340225238664176
126,Renny Harlin,-18.416933333333333,-1.0605345438176388
97,Michael Apted,-18.4401,-1.0618685905788683
140,Roger Donaldson,-18.8272,-1.0841596481877251
114,Paul McGuigan,-20.861185714285718,-1.2012862116925935
116,Paul W.S. Anderson,-23.32534444444444,-1.3431841817554595
99,Michael Mann,-23.743900000000004,-1.3672865997389163
142,Roman Polanski,-24.829125,-1.4297790125355363
132,Rob Minkoff,-25.17696,-1.4498090048459902
162,Tony Scott,-27.406485714285715,-1.5781956908123307
164,Uwe Boll,-31.260733333333334,-1.8001415851936005
152,Stephen Herek,-33.593824999999995,-1.9344920908727796
67,Joe Wright,-47.41325714285714,-2.7302806675147733
