,actor_3_name,profit_millions,VAR
187,Wes Studi,157.45476666666667,11.444567961074792
151,Robert Wagner,119.7822,8.706345050379886
172,Teri Polo,119.59213333333332,8.69253009304419
12,Bernard Hill,110.98303333333332,8.066779395751725
154,Rupert Grint,103.77003333333333,7.542503945406098
71,Jack Davenport,103.5294,7.525013560101578
86,Jon Favreau,102.40743333333332,7.443463639203276
102,Kirsten Dunst,101.76095,7.396474128497013
168,Steve Coogan,88.266825,6.415656374248407
22,Bradley Cooper,72.55006666666667,5.2732869644076
128,Natasha Lyonne,70.85236666666667,5.149889982284797
142,Ramon Rodriguez,64.39920000000001,4.680842864536002
153,Rupert Everett,64.3125,4.6745410925208954
183,Vanessa Redgrave,64.15589999999999,4.663158653102604
108,Leigh Whannell,63.64186666666666,4.625796243934991
135,Olivia Williams,61.258233333333344,4.452542335811856
188,Will Ferrell,58.62720000000001,4.261306208582174
74,James Nesbitt,53.82166666666665,3.912016987386517
21,Bonnie Hunt,52.37935,3.807182491343586
123,Mike Epps,52.33878,3.804233669075386
171,Tate Donovan,51.37033333333333,3.7338423184165213
44,Dave Chappelle,50.52933333333332,3.6727144030220007
64,Harry Lennix,49.561266666666654,3.602350672586501
126,Molly Shannon,48.7836,3.545826127752806
82,Joey Lauren Adams,45.19743333333334,3.285166326812678
60,George Carlin,44.99009999999999,3.270096345292506
149,Rob Riggle,44.7739,3.25438189189382
37,Craig T. Nelson,44.301750000000006,3.220063764362878
1,Albert Brooks,43.7085,3.1769435077543173
184,Verne Troyer,43.47540000000001,3.160000681263875
97,Jürgen Prochnow,41.9212,3.0470339677012546
98,Kevin Dunn,40.9959,2.979778723807617
144,Regina Hall,38.08593333333334,2.7682683834974227
173,Thomas Lennon,36.39181666666667,2.6451318552352987
67,Ike Barinholtz,35.7728,2.600138753656466
145,Rene Russo,35.1927,2.55797430214593
8,Anne Hathaway,34.48761999999999,2.5067257045402593
117,Matthew McConaughey,32.648666666666664,2.3730617523708535
140,Philip Baker Hall,32.27843333333333,2.3461514172029214
29,Cedric the Entertainer,31.93944,2.3215117551347806
7,Andy Richter,31.920999999999996,2.320171447453597
26,Callum Rennie,30.592533333333332,2.2236121157003987
192,Xander Berkeley,29.92316666666667,2.174959334525712
62,Haley Bennett,29.898533333333333,2.1731688656602124
119,Michael Jeter,29.462566666666664,2.1414807164154666
120,Michael Kelly,28.680466666666664,2.084633935642513
113,Mary Kay Place,27.62833333333334,2.008159836494173
17,Blair Underwood,25.773975000000004,1.8733761750065112
14,Beverly D'Angelo,25.734633333333335,1.8705166338989256
25,Bruce McGill,25.374533333333332,1.8443428380207247
48,Eddie Marsan,25.070666666666664,1.8222563506352136
9,Anne Heche,24.508924999999998,1.7814262708806634
57,Fred Willard,23.729925,1.724804812982529
39,Dan Fogler,23.35553333333334,1.69759223019488
65,Holland Taylor,23.078433333333336,1.6774512725779693
24,Bruce Davison,22.512266666666665,1.6362995625908139
101,Kevin Sussman,22.45272,1.631971425132995
160,Sela Ward,22.0363,1.6017040214129166
111,Mark Margolis,21.527766666666665,1.564741378636111
38,Crystal Lowe,21.524966666666668,1.5645378612007907
87,Jon Gries,21.35005,1.551824078559778
190,Will Patton,21.21943333333333,1.5423302324847314
96,Julian Richings,21.065033333333332,1.5311076996227648
152,Romany Malco,20.826866666666668,1.513796603487456
77,Jeff Garlin,19.444225000000003,1.4132995727847948
110,Lukas Haas,19.293166666666664,1.4023199282905765
91,Judd Hirsch,17.677900000000005,1.2849145963766788
19,Bob Gunton,17.21826666666667,1.2515062402381516
69,J.T. Walsh,17.154866666666667,1.2468980240241054
63,Harry Connick Jr.,16.666300000000003,1.2113866543872653
33,Chris Mulkey,15.723999999999998,1.1428957689220376
100,Kevin Pollak,15.5966,1.1336357256149487
28,Catherine O'Hara,15.22693333333333,1.1067665784994023
150,Robert Duvall,14.934925000000002,1.0855420116807406
13,Beth Grant,14.393833333333333,1.0462128730116802
10,B.J. Novak,13.933700000000007,1.0127681744739891
134,Oliver Platt,12.901599999999993,0.9377501941188345
159,Sean Harris,11.994833333333334,0.871842041820891
99,Kevin Nealon,11.222525,0.8157069663649066
191,William Hurt,11.058220000000004,0.8037644905754936
81,Joan Allen,11.017566666666669,0.8008096112407667
56,Fred Ward,11.004966666666668,0.7998937827818238
3,Alex Rocco,10.736233333333333,0.7803609546442644
73,Jake Busey,10.623566666666663,0.7721718006992194
104,Kristin Davis,10.418000000000005,0.7572302289894298
68,Imelda Staunton,10.153266666666667,0.7379881400451854
90,Josh Gad,9.438733333333337,0.6860524288126477
165,Stacy Keach,8.946366666666666,0.6502648569421576
170,Tamala Jones,8.893133333333337,0.6463956028444549
70,Jacinda Barrett,8.271133333333335,0.6011856582839417
2,Alex Borstein,7.982525000000002,0.5802082197795975
40,Daniel von Bargen,7.975325,0.5796848892316301
143,Reg E. Cathey,7.711733333333335,0.5605257820988114
6,Andrea Martin,7.385574999999999,0.5368190294172207
84,John Doman,6.5688666666666675,0.4774567489154378
80,Jim Broadbent,6.524774999999999,0.47425195501579037
161,Seth MacFarlane,6.233999999999997,0.4531170327817337
18,Bob Balaban,6.227275000000001,0.45262822751297277
157,Scoot McNairy,5.6781666666666695,0.41271639904397656
49,Elaine Stritch,5.559599999999996,0.40409840478879144
76,Jay Chandrasekhar,5.136833333333333,0.37336969488198635
186,Virginia Madsen,4.232733333333333,0.3076553687129191
169,Sydney Pollack,3.7885333333333335,0.27536878129526654
75,Jason Ritter,3.748066666666667,0.2724274697895611
139,Paula Garcés,3.036275,0.2206910360457746
4,Amy Sedaris,2.9820666666666633,0.21675091426970072
164,Spencer Breslin,2.4521333333333337,0.17823281680865938
23,Brian Geraghty,2.3242499999999993,0.16893764251571136
116,Matt Walsh,2.2582999999999984,0.16414408006592698
34,Clarence Williams III,2.105966666666667,0.15307176245384008
174,Tim Blake Nelson,2.093766666666667,0.15218500791422873
95,Julia Roberts,1.6777999999999986,0.12195055463605911
167,Steve Carell,1.0140166666666666,0.0737035969187078
32,Cheech Marin,0.9928666666666656,0.07216631343405364
148,Rip Torn,0.9928000000000002,0.07216146778083181
176,Tim Meadows,0.6508249999999984,0.04730508387234059
53,Faizon Love,0.4988999999999996,0.036262445886237865
72,Jacob Vargas,-0.11504999999999921,-0.008362386047728284
46,Debi Mazar,-0.4075333333333333,-0.02962147814559661
162,Shawn Hatosy,-1.2553999999999996,-0.09124849582197442
103,Kris Marshall,-1.363366666666667,-0.09909603121487383
114,Mary McCormack,-1.7770499999999996,-0.12916452087019248
138,Paul Sorvino,-1.8792749999999994,-0.13659472437935397
61,Gretchen Mol,-2.5754200000000003,-0.1871938833119559
58,Gaby Hoffmann,-2.7039999999999997,-0.19653969468107288
122,Michael Rispoli,-3.079180000000002,-0.22380957731807188
127,Natasha Henstridge,-3.3262999999999985,-0.2417714446810845
146,Richard Roxburgh,-3.735475000000001,-0.27151224703727106
175,Tim McGraw,-3.7753333333333323,-0.2744093419573263
0,A.J. Buckley,-4.046266666666666,-0.29410207665120897
66,Hope Davis,-4.25612,-0.3093552238631686
20,Bobb'e J. Thompson,-4.597366666666667,-0.33415866901021024
109,Leland Orser,-4.998233333333332,-0.36329558183361477
155,Sam Shepard,-5.01118,-0.3642366076893117
89,Jose Pablo Cantillo,-5.076825,-0.36900800127560573
15,Bill Cobbs,-5.093166666666666,-0.3701957920216288
106,Larry Miller,-5.25338,-0.38184086584454685
137,Paul Guilfoyle,-5.432225000000001,-0.394840178601661
31,Charlotte Rampling,-5.5447999999999995,-0.40302266977352547
166,Stephen Root,-5.574366666666666,-0.40517171697744697
133,Nora Zehetner,-5.635266666666667,-0.4095982211956709
107,Laz Alonso,-5.833099999999999,-0.42397769713171823
185,Vincent Pastore,-5.976066666666667,-0.43436920046612565
41,Danny Huston,-6.2815666666666665,-0.4565744063555737
177,Timothy Hutton,-6.305240000000001,-0.45829509781467764
52,Ewen Bremner,-6.629725000000001,-0.48188022460039803
182,Udo Kier,-6.642933333333336,-0.482840269644991
125,Miranda Richardson,-6.6627,-0.4842770058252901
156,Sarah Gadon,-6.925233333333334,-0.5033591882132108
47,Denis O'Hare,-7.0197,-0.5102254788286714
124,Miranda Otto,-7.033125000000004,-0.5112012722462358
85,John Michael Higgins,-7.051150000000002,-0.5125114157361123
181,Tracy Morgan,-7.191766666666666,-0.5227321097944467
45,David Arquette,-7.255366666666667,-0.5273548629681584
54,Frances Conroy,-7.555933333333333,-0.5492014905191844
112,Mark Webber,-7.7119333333333335,-0.5605403190584771
11,Ben Mendelsohn,-8.044325,-0.5847001403163172
130,Ned Bellamy,-8.268833333333333,-0.6010184832477853
158,Scott Glenn,-8.458275,-0.6147880125845236
121,Michael McKean,-9.380133333333331,-0.6817930996305797
55,Frank Langella,-9.640625,-0.7007268838885793
