,actor_1_name,profit_millions,VAR
27,Billy Crudup,2.8345499999999997,0.26766401869977485
132,Kirsten Dunst,2.787689999999999,0.26323907085398923
115,Joe Mantegna,2.4891599999999987,0.23504915023080603
173,Oliver Platt,2.384088888888888,0.22512737927977308
131,Kevin Zegers,2.2729999999999992,0.2146373549609596
156,Michael Kelly,2.2343250000000023,0.2109853093370641
44,Chloë Grace Moretz,2.210133333333333,0.20870091191276532
175,Omar Epps,1.4214400000000005,0.1342253065709224
124,Julian Morris,1.3723,0.12958506036644302
181,Radha Mitchell,1.3614000000000013,0.1285557831253193
167,Natasha Lyonne,1.3330199999999999,0.1258758851342096
148,Matthew McConaughey,0.9422700000000006,0.0889777124764908
45,Chris Evans,0.8961444444444425,0.08462211756203863
8,Alexa PenaVega,0.5815999999999999,0.05491996728785487
43,Chazz Palminteri,0.36219999999999947,0.03420222171881191
174,Olivia Wilde,0.23583999999999997,0.02227016005015078
63,Djimon Hounsou,0.0683874999999976,0.00645777039700489
223,Will Forte,-0.15872500000000045,-0.01498825964196147
206,Sylvester Stallone,-0.17065555555555217,-0.01611485132152962
98,Janeane Garofalo,-0.1988000000000021,-0.01877250601242377
135,Lena Dunham,-0.38233333333333336,-0.03610339435990919
2,Adam Scott,-0.4067000000000006,-0.038404316877528565
128,Keanu Reeves,-0.42154666666666724,-0.039806274318496614
28,Bob Hoskins,-0.5065000000000002,-0.047828341525616415
87,Hayden Christensen,-0.91585,-0.0864828955305741
67,Drake Bell,-1.2190666666666663,-0.11511537389107222
138,Liam Aiken,-1.3922249999999998,-0.13146656027739642
120,Joseph Gordon-Levitt,-1.5845437500000024,-0.14962704765504647
226,Zooey Deschanel,-1.6284444444444448,-0.15377255092671582
99,Jason Flemyng,-1.6456000000000008,-0.15539253467829098
127,Kate Winslet,-1.6571181818181815,-0.15648018627504143
33,Bruce Greenwood,-1.814566666666666,-0.17134790573412167
3,Aidan Quinn,-2.17475,-0.20535969542514168
153,Michael Fassbender,-2.3834666666666666,-0.22506862339241032
154,Michael Imperioli,-2.564750000000002,-0.24218704625434304
194,Salma Hayek,-3.0921428571428566,-0.2919882815743807
172,Norman Reedus,-3.1212,-0.2947321215592377
66,Donald Faison,-3.16735,-0.2990900247406932
