genre,num_critic_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,num_users_voted,cast_total_facebook_likes,num_user_reviews,budget,title_year,actor_2_facebook_likes,movie_score,aspect_ratio,movie_facebook_likes,budget_millions,gross_millions,profit_millions,roi,profit_margin
action,205.20350877192982,111.11785297549592,689.3585564610012,981.7167832167833,9638.895227008148,83293406.64683053,141347.60535506404,14465.745052386495,468.41190198366394,70456898.2035928,2007.2607683352735,2582.8088578088577,6.116065192083817,2.2410718635809674,13275.938300349244,70.4568982035928,83.29340698576964,7.842258005249341,0.14666338582677152,-75.79312632873773
adventure,221.64776119402984,110.74029850746268,684.3770491803278,1335.1736526946108,9473.345752608047,108945910.73742138,157714.1520119225,15295.220566318927,503.6313432835821,89056914.24196018,2007.2235469448585,3158.6283582089554,6.336363636363638,2.1749999999999856,17016.636363636364,89.05691424196017,108.9459121069183,18.19700431309906,0.37179968051118234,-25.480400460034208
animation,163.62944162436548,90.46700507614213,217.30456852791878,807.8832487309645,6988.279187817259,110934996.44262294,105005.44670050761,11069.401015228426,213.48730964467006,82130366.4921466,2007.6192893401014,2197.568527918782,6.487817258883251,2.015000000000004,8296.619289340102,82.1303664921466,110.93499836065575,26.166464444444454,0.4424172222222222,-49.731802655226645
comedy,129.63788487282463,99.436,361.71105193075897,698.4267643142476,6561.165778961385,48469621.150833935,65865.54926764315,9926.872170439414,196.9599733155437,33988999.39234104,2006.029294274301,1648.0652463382157,6.057190412782961,2.069909027291763,5600.335552596538,33.988999421965296,48.469621174764306,14.629041634241235,1.1465196108949418,-26.279647396369924
crime,159.47470238095238,108.37426035502959,833.7109144542773,636.9041297935104,8782.749262536872,37807334.00162867,90695.51769911505,12502.979351032449,270.35407407407405,32180962.437888198,2005.8923303834808,2110.6548672566373,6.404719764011798,2.171850152905184,7370.08407079646,32.18096242236025,37.80733241042348,4.773279145299141,0.28356717948717963,-104.73891598434972
documentary,65.07,92.09708737864078,260.40776699029124,107.0,1262.4742268041236,12128263.7375,12510.446601941747,1751.0873786407767,88.73529411764706,4894068.259259259,2008.0,313.6041666666667,7.0844660194174764,2.4035211267605625,2422.26213592233,4.894067901234568,12.128262499999998,6.630270689655175,56.92466896551725,-16.2153644606242
drama,156.0185283218634,111.31968503937009,751.0942902042955,700.2418677859391,7738.406184486374,35023193.811840564,80293.08276584599,11193.850707176533,281.1776142932212,29228361.638199653,2006.386066003143,1913.7042475091766,6.594552121529608,2.1533166943981668,9033.78941854374,29.228361684939387,35.02319284876905,5.954593252705279,1.0753811584977724,-20.713268898762955
family,142.926267281106,97.16247139588101,378.9588100686499,894.8077803203661,7095.363844393592,91133815.41031942,79547.29748283753,11202.235697940503,214.34174311926606,68185403.34128879,2007.0274599542333,2055.3592677345537,6.098398169336384,2.077505995203851,7056.839816933639,68.18540334128879,91.13381621621615,21.16881832061068,0.5971132315521628,-39.89992483601473
fantasy,196.28982300884957,105.33702882483371,525.7422907488987,1279.319383259912,8786.403083700441,93039776.0,126790.11674008811,13965.127753303965,414.3325991189427,73434976.95852534,2007.1762114537446,2618.6211453744495,6.15550660792952,2.1217832957110754,13528.070484581498,73.43497695852535,93.03977630331761,18.205641646489106,0.47593946731234876,-48.18975840168958
music,116.70258620689656,105.44871794871794,516.8034188034188,468.6923076923077,4372.995726495727,38671636.071428575,44512.081196581195,6959.51282051282,199.86324786324786,28311553.92156863,2006.3760683760684,1359.5555555555557,6.230341880341881,2.046745283018873,5716.346153846154,28.311553921568628,38.6716361904762,12.001711891891896,0.953016756756757,-15.565950656469287
mystery,186.70822942643392,108.44168734491315,1039.6401985111663,662.6865671641791,7885.2679900744415,46330013.15686274,103897.79404466502,11120.198511166253,370.1542288557214,35247216.35883905,2006.4764267990074,1740.6823821339951,6.3066997518610455,2.210384615384629,9049.24317617866,35.24721635883905,46.33001400560229,9.419439244186043,1.1891308139534884,-24.3804794603148
thriller,182.42421524663678,107.83882457702582,777.8861209964413,720.0080071174377,8961.944839857651,48151678.91718426,99654.21797153025,12646.01512455516,350.72549019607845,39724107.333333336,2006.8113879003558,2023.2695729537365,6.204982206405705,2.2358856607309794,9396.99822064057,39.72410741784036,48.151678364389326,5.157454496788011,0.910799357601713,-65.61714102877401
horror,172.28400954653938,97.78250591016548,201.98345153664303,451.806146572104,5374.170212765957,34789551.89206349,57550.81323877069,7667.217494089835,308.40521327014216,19987612.17948718,2008.0425531914893,1090.4066193853428,5.617257683215128,2.246250000000013,7138.661938534279,19.98761230769231,34.789550476190456,11.227141584158408,34.34833498349835,-29.128509916138043
romance,138.33853541416568,107.55794504181601,400.2133492252682,776.0787589498807,6752.011918951132,43435696.176165804,72672.24672228844,10250.668653158522,255.47305389221557,32767934.65167095,2005.803337306317,1794.631704410012,6.2859356376638855,2.108527227722748,7060.257449344458,32.76793470437018,43.43569676165808,11.099857617728526,1.0457714681440444,-30.729799082874834
sci-fi,231.48140043763675,108.39035087719299,685.6717724288841,1009.1947483588622,8226.242888402627,87113325.62740384,158590.12253829322,12978.577680525164,548.1137855579868,69895678.08219178,2007.199124726477,2540.059080962801,6.174617067833696,2.1721867881549124,18754.93873085339,69.8956780821918,87.11332500000002,14.030015647921747,0.4589606356968215,-7.1628154692490575
